Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ADP,ECR vs. ADP,PS,Baseline
Mecole Hardman,WR,KC/10,-0.43,1.41,58.0,6.0,13|02,146.2,139.0,0.4166666666666667,0.0,
Sammy Watkins,WR,KC/10,-0.46,0.6,59.0,6.0,14|12,168.0,145.0,-1.75,0.0,
Justin Jefferson,WR,MIN/7,-0.77,0.9,60.0,6.0,13|08,152.7,132.0,-1.4166666666666667,0.0,
Larry Fitzgerald,WR,ARI/8,-0.91,0.73,61.0,7.0,16|05,185.7,171.0,-1.6666666666666667,0.0,
Corey Davis,WR,TEN/7,-1.0,0.75,62.0,7.0,17|02,194.4,208.0,0.9166666666666666,0.0,
Michael Pittman,WR,IND/7,-1.0,0.91,63.0,7.0,15|06,174.9,186.0,0.5833333333333334,0.0,
Bryan Edwards,WR,LV/6,-1.0,1.02,64.0,7.0,17|04,196.6,223.0,-1.6666666666666667,0.0,
Brandon Aiyuk,WR,SF/11,-1.06,0.89,65.0,7.0,14|08,164.8,213.0,4.083333333333333,0.0,
Cole Beasley,WR,BUF/11,-1.15,1.04,66.0,7.0,17|09,201.7,238.0,1.8333333333333333,0.0,
Hunter Renfrow,WR,LV/6,-1.15,1.1,67.0,7.0,16|10,190.3,177.0,-0.6666666666666666,0.0,
Steven Sims,WR,WAS/8,-1.15,1.07,68.0,7.0,17|09,201.4,314.0,9.333333333333334,0.0,
Jalen Reagor,WR,PHI/9,-1.17,0.85,69.0,7.0,13|06,150.6,140.0,-0.4166666666666667,0.0,
Parris Campbell,WR,IND/7,-1.27,1.05,70.0,7.0,15|05,173.6,214.0,3.8333333333333335,0.0,
Dede Westbrook,WR,JAX/7,-1.48,1.53,71.0,7.0,17|05,197.2,198.0,-1.3333333333333333,0.0,
Randall Cobb,WR,HOU/8,-1.48,0.64,72.0,7.0,16|11,191.4,231.0,3.0,0.0,
Laviska Shenault,WR,JAX/7,-1.5,1.32,73.0,7.0,16|11,191.6,240.0,4.333333333333333,0.0,
Danny Amendola,WR,DET/5,-1.57,0.94,74.0,7.0,19|07,223.8,279.0,2.333333333333333,0.0,
James Washington,WR,PIT/8,-1.76,1.01,75.0,7.0,16|09,189.2,220.0,2.1666666666666665,0.0,
Russell Gage,WR,ATL/10,-2.13,0.91,76.0,7.0,20|06,234.1,320.0,5.416666666666668,0.0,
Adam Humphries,WR,TEN/7,-2.45,0.69,77.0,7.0,21|12,252.4,316.0,3.1666666666666665,0.0,
Chris Conley,WR,JAX/7,-2.47,1.6,78.0,7.0,20|06,234.5,291.0,2.25,0.0,
Alshon Jeffery,WR,PHI/9,-2.51,1.74,79.0,8.0,17|02,194.7,162.0,-3.4166666666666665,0.0,
Denzel Mims,WR,NYJ/11,-2.55,1.16,80.0,8.0,17|08,200.6,200.0,-1.5,0.0,
Tee Higgins,WR,CIN/9,-2.71,1.33,81.0,8.0,19|04,220.8,212.0,-2.6666666666666665,0.0,
Josh Reynolds,WR,LAR/9,-2.8,1.68,82.0,8.0,20|06,234.9,268.0,0.4166666666666667,0.0,
John Ross,WR,CIN/9,-2.97,1.34,83.0,8.0,18|08,212.8,206.0,-2.333333333333333,0.0,
Kenny Stills,WR,HOU/8,-3.01,0.95,84.0,8.0,19|04,220.0,225.0,-1.6666666666666667,0.0,
Miles Boykin,WR,BAL/8,-3.1,1.18,85.0,8.0,20|02,230.6,301.0,4.25,0.0,
Kendrick Bourne,WR,SF/11,-3.13,1.06,86.0,8.0,21|11,251.8,270.0,-1.9166666666666667,0.0,
Marquez Valdes-Scantling,WR,GB/5,-3.47,1.17,87.0,8.0,22|02,254.1,318.0,2.6666666666666665,0.0,
Chase Claypool,WR,PIT/8,-3.52,1.02,88.0,8.0,22|02,254.0,261.0,-1.3333333333333333,0.0,
Olabisi Johnson,WR,MIN/7,-3.58,0.77,89.0,8.0,23|06,270.9,355.0,1.9166666666666667,0.0,
TreQuan Smith,WR,NO/6,-3.62,0.93,90.0,8.0,21|04,244.3,281.0,1.3333333333333333,0.0,
Van Jefferson,WR,LAR/9,-3.62,1.43,91.0,8.0,22|08,260.0,337.0,3.583333333333333,0.0,
Willie Snead,WR,BAL/8,-3.7,0.92,92.0,8.0,24|12,288.8,235.0,-7.083333333333332,0.0,
Jakeem Grant,WR,MIA/11,-3.86,1.46,93.0,8.0,,,,,0.0,
Zach Pascal,WR,IND/7,-3.95,0.83,94.0,8.0,23|10,274.3,307.0,0.5833333333333334,0.0,
Antonio Gandy-Golden,WR,WAS/8,-4.01,0.97,95.0,8.0,23|05,269.5,344.0,3.1666666666666665,0.0,
Isaiah Ford,WR,MIA/11,-4.05,0.9,96.0,8.0,,,,,0.0,
KJ Hamler,WR,DEN/8,-4.07,0.83,97.0,8.0,22|06,258.3,292.0,0.3333333333333333,0.0,
Jakobi Meyers,WR,NE/6,-4.24,1.97,98.0,9.0,25|01,289.1,341.0,2.0,0.0,
Dontrelle Inman,WR,WAS/8,-4.29,1.55,99.0,9.0,,,,,0.0,
Andy Isabella,WR,ARI/8,-4.3,1.43,100.0,9.0,22|03,255.3,264.0,-1.75,0.0,
Damiere Byrd,WR,NE/6,-4.3,1.04,101.0,9.0,,,,,0.0,
Demarcus Robinson,WR,KC/10,-4.31,1.23,102.0,9.0,24|06,282.6,326.0,1.75,0.0,
Scott Miller,WR,TB/13,-4.31,1.42,103.0,9.0,25|10,298.8,358.0,0.8333333333333334,0.0,
Auden Tate,WR,CIN/9,-4.42,0.99,104.0,9.0,23|03,267.6,305.0,0.5833333333333334,0.0,
JJ Arcega-Whiteside,WR,PHI/9,-4.49,1.54,105.0,9.0,23|09,273.0,330.0,2.4166666666666665,0.0,
Phillip Dorsett,WR,SEA/6,-4.49,1.23,106.0,9.0,23|05,269.1,315.0,1.5,0.0,
Gunner Olszewski,WR,NE/6,-4.55,1.27,107.0,9.0,,,,,0.0,
Gary Jennings,WR,MIA/11,-4.67,2.17,108.0,9.0,,,,,0.0,
Devin Duvernay,WR,BAL/8,-4.72,0.62,109.0,9.0,24|07,283.8,233.0,-6.75,0.0,
David Moore,WR,SEA/6,-4.74,0.6,110.0,9.0,25|06,294.0,333.0,0.6666666666666666,0.0,
Quincy Enunwa,WR,/,-4.88,0.31,113.0,9.0,,,,,0.0,
Joe Reed,WR,LAC/10,-4.89,1.03,114.0,9.0,,,,,0.0,
Nelson Agholor,WR,LV/6,-4.91,1.39,115.0,9.0,25|04,292.6,311.0,-0.6666666666666666,0.0,
Tim Patrick,WR,DEN/8,-5.03,0.74,116.0,9.0,,,,,0.0,
